Claim Number,Date Received,Incident Date,Airport Code,Airport Name,Airline Name,Claim Type,,,,
2010011967631,19-Jan-10,1/19/10 0:00,-,-,-,Personal Injury,Checkpoint,Cosmetics & Grooming; Jewelry & Watches; Personal Accessories,-,-
2010011967634,19-Jan-10,1/19/10 0:00,EWR,Newark International Airport,Continental Airlines  ,Property Damage,Checked Baggage,Baggage/Cases/Purses,$0.00 ,Deny
2010012167715,19-Jan-10,1/5/10 6:30,DAY,James M. Cox Dayton International,AirTran Airlines,Property Damage,Checked Baggage,Crafting & Hobby,$150.00 ,Settle
2010012167716,19-Jan-10,1/15/10 11:00,MIA,Miami International Airport,USAir  ,Passenger Property Loss,Checked Baggage,Travel Accessories,$24.00 ,Settle
2010012167718,19-Jan-10,1/10/10 18:49,PIT,Pittsburgh International Airport,AirTran Airlines,Property Damage,Checked Baggage,Baggage/Cases/Purses,-,-
2010012167720,19-Jan-10,1/10/10 10:30,SEA,Seattle-Tacoma International,Alaska Airlines  ,Passenger Property Loss,Checked Baggage,Cameras; Travel Accessories,$109.33 ,Approve in Full
2010012167721,19-Jan-10,1/12/10 11:30,CHA,Chattanooga Metropolitan,Delta Air Lines  ,Property Damage,Checked Baggage,Computer & Accessories,$0.00 ,Deny
2010012167727,19-Jan-10,1/12/10 6:00,EWR,Newark International Airport,Continental Airlines  ,Property Damage,Checkpoint,Clothing,$0.00 ,Deny
2010012167729,19-Jan-10,1/4/10 0:00,SEA,Seattle-Tacoma International,Alaska Airlines  ,Passenger Property Loss,Checked Baggage,Travel Accessories,$0.00 ,Deny
2010012167730,19-Jan-10,1/6/10 18:00,HOU,William P. Hobby,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,Cameras; Cameras,$0.00 ,Deny
2010012167736,19-Jan-10,1/13/10 11:45,IND,Indianapolis International,Northwest Airlines  ,Property Damage,Checkpoint,Clothing,$135.00 ,Settle
2010012167737,19-Jan-10,1/14/10 0:00,MCO,Orlando International Airport,Jet Blue,Passenger Property Loss,Checked Baggage,Computer & Accessories,$0.00 ,Deny
2010012167739,19-Jan-10,1/14/10 0:00,ATL,Hartsfield-Jackson Atlanta International Airport,Delta Air Lines  ,Property Damage,Checkpoint,Clothing,$90.00 ,Settle
2010012167741,19-Jan-10,1/11/10 12:25,DFW,Dallas-Fort Worth International Airport ,American Airlines  ,Passenger Property Loss,Checked Baggage,Baggage/Cases/Purses; Travel Accessories,$0.00 ,Deny
2010012167743,19-Jan-10,1/4/10 0:00,PHX,Phoenix Sky Harbor International,Air Canada,Passenger Property Loss,Checked Baggage,Travel Accessories,$14.95 ,Approve in Full
2010012167744,19-Jan-10,1/7/10 12:30,LAS,McCarran International,Virgin Atlantic,Property Damage,Checkpoint,Computer & Accessories,$800.00 ,Approve in Full
